City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Pagsangahan,PH,82.78,overcast clouds,13.2158,122.5431,
4,Guerrero Negro,MX,73.29,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
9,Hithadhoo,MV,81.18,overcast clouds,-0.6,73.0833,Scoop Guest House
10,Butaritari,KI,81.37,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
13,Arraial Do Cabo,BR,75.06,moderate rain,-22.9661,-42.0278,Pousada Porto Praia
17,Kapaa,US,77.32,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
21,Quelimane,MZ,75.92,clear sky,-17.8786,36.8883,Hotel Flamingo
27,Koumac,NC,70.2,few clouds,-20.5667,164.2833,Le Monitel
29,Georgetown,MY,78.89,few clouds,5.4112,100.3354,Cititel Penang
35,Atuona,PF,76.19,clear sky,-9.8,-139.0333,Villa Enata
36,Manado,ID,77.77,few clouds,1.487,124.8455,Aryaduta Hotel
38,Cabedelo,BR,84.87,scattered clouds,-6.9811,-34.8339,Pousada Camboinha
39,Inongo,CD,76.32,overcast clouds,-1.95,18.2667,Hotel Du Lac
42,Ponta Do Sol,PT,75.7,few clouds,32.6667,-17.1,Hotel do Campo
49,Gamboula,CF,70.14,moderate rain,4.1178,15.1393,
51,Conakry,GN,79.9,light rain,9.538,-13.6773,Riviera Royal Hotel
52,Vaini,TO,73.56,scattered clouds,-21.2,-175.2,Keleti Beach Resort
56,Puerto Ayora,EC,76.96,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
60,Vao,NC,70.41,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
63,Salalah,OM,80.69,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
69,Auki,SB,76.19,broken clouds,-8.7676,160.7034,Auki Motel
77,Samarai,PG,80.74,broken clouds,-10.6167,150.6667,Nuli Sapi
78,Sao Filipe,CV,77.36,few clouds,14.8961,-24.4956,Hotel Xaguate
81,Avarua,CK,75.25,broken clouds,-21.2078,-159.775,Paradise Inn
82,Kahului,US,78.84,clear sky,20.8947,-156.47,Maui Seaside Hotel
94,Carauari,BR,74.86,overcast clouds,-4.8828,-66.8958,Hotel Fellip
96,Arcachon,FR,82.72,clear sky,44.5875,-1.0519,Hôtel All Suites Le Teich
106,Faanui,PF,78.94,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
107,Buraydah,SA,81.64,clear sky,26.326,43.975,Mövenpick Qassim
111,Port Elizabeth,ZA,75.09,overcast clouds,-33.918,25.5701,39 On Nile Guest House
113,Isangel,VU,71.65,scattered clouds,-19.55,169.2667,Tanna Lodge
114,Touros,BR,84.06,clear sky,-5.1989,-35.4608,INN NEW HORIZON
116,Santa Catarina Palopo,GT,75.7,light rain,14.7167,-91.1333,Posada Don Rodrigo
117,Taganak,PH,83.59,overcast clouds,6.0833,118.3,Taganak
124,Dambulla,LK,73.99,overcast clouds,7.86,80.6517,Tinaya Treats
125,Namatanai,PG,78.84,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
129,Victoria,HK,84.38,overcast clouds,22.2855,114.1577,Mini Central
131,Lucapa,AO,70.84,light rain,-8.4192,20.7447,Lírio Mendes
133,Nara,JP,71.49,overcast clouds,34.6851,135.8049,Guesthouse Nara Komachi
135,Fredericksburg,US,73.31,clear sky,38.3032,-77.4605,Courtyard by Marriott Fredericksburg Historic District
136,Mersing,MY,77.83,overcast clouds,2.4312,103.8405,Timotel Hotel
137,Hilo,US,82.27,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
139,Sri Aman,MY,73.94,overcast clouds,1.2376,111.4621,Seri Simanggang Hotel
