City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Novoseleznevo,RU,55.6821,69.2056,41.92,85,72,7.29,broken clouds
1,Dalby,AU,-27.1833,151.2667,61.99,84,64,1.01,broken clouds
2,Pagsangahan,PH,13.2158,122.5431,82.78,79,86,18.7,overcast clouds
3,Chokurdakh,RU,70.6333,147.9167,13.01,86,99,10.4,overcast clouds
4,Guerrero Negro,MX,27.9769,-114.0611,73.29,55,86,10.47,overcast clouds
5,Kautokeino,NO,69.0125,23.0412,37.87,90,100,4.61,overcast clouds
6,Albany,US,42.6001,-73.9662,59.45,53,100,3.0,overcast clouds
7,Mataura,NZ,-46.1927,168.8643,46.35,83,99,3.24,overcast clouds
8,Lebu,CL,-37.6167,-73.65,55.69,77,81,13.15,broken clouds
9,Hithadhoo,MV,-0.6,73.0833,81.18,69,96,11.59,overcast clouds
10,Butaritari,KI,3.0707,172.7902,81.37,70,100,17.92,overcast clouds
11,Hobart,AU,-42.8794,147.3294,49.86,72,99,12.66,overcast clouds
12,Hermanus,ZA,-34.4187,19.2345,68.13,77,24,4.25,few clouds
13,Arraial Do Cabo,BR,-22.9661,-42.0278,75.06,69,75,23.02,moderate rain
14,Bethel,US,41.3712,-73.414,66.02,56,0,3.44,clear sky
15,Dubrovnik,HR,42.6481,18.0922,65.84,82,0,3.44,clear sky
16,Barstow,US,34.8986,-117.0228,68.99,54,42,3.33,scattered clouds
17,Kapaa,US,22.0752,-159.319,77.32,86,100,9.22,overcast clouds
18,Iqaluit,CA,63.7506,-68.5145,33.53,100,100,8.05,fog
19,Esperance,AU,-33.8667,121.9,59.04,84,85,18.92,overcast clouds
20,San Patricio,US,28.017,-97.5169,89.55,47,37,11.25,scattered clouds
21,Quelimane,MZ,-17.8786,36.8883,75.92,77,0,7.83,clear sky
22,Tuatapere,NZ,-46.1333,167.6833,43.47,87,45,3.24,scattered clouds
23,Launceston,AU,-41.45,147.1667,40.8,81,79,8.05,broken clouds
24,Sokone,SN,13.8833,-16.3667,90.01,50,4,5.14,clear sky
25,Punta Arenas,CL,-53.15,-70.9167,59.11,38,0,16.11,clear sky
26,Ribeira Grande,PT,38.5167,-28.7,68.77,52,40,13.8,scattered clouds
27,Koumac,NC,-20.5667,164.2833,70.2,75,18,3.65,few clouds
28,Wanxian,CN,30.8039,108.3897,66.06,77,9,0.72,clear sky
29,Georgetown,MY,5.4112,100.3354,78.89,91,20,0.0,few clouds
30,Nanortalik,GL,60.1432,-45.2371,36.99,74,2,10.38,clear sky
31,Upernavik,GL,72.7868,-56.1549,31.93,99,100,6.11,snow
32,Ixtapa,MX,20.7,-105.2,86.23,70,40,5.01,scattered clouds
33,Dzhebariki-Khaya,RU,62.2167,135.8,16.61,98,100,2.3,overcast clouds
34,Yellowknife,CA,62.456,-114.3525,28.92,93,75,19.57,light snow
35,Atuona,PF,-9.8,-139.0333,76.19,72,5,12.37,clear sky
36,Manado,ID,1.487,124.8455,77.77,94,20,1.14,few clouds
37,Ushuaia,AR,-54.8,-68.3,49.66,40,0,8.05,clear sky
38,Cabedelo,BR,-6.9811,-34.8339,84.87,68,33,17.74,scattered clouds
39,Inongo,CD,-1.95,18.2667,76.32,82,100,1.83,overcast clouds
40,Lieksa,FI,63.3167,30.0167,49.96,95,100,17.94,light rain
41,Pevek,RU,69.7008,170.3133,9.82,96,99,4.83,overcast clouds
42,Ponta Do Sol,PT,32.6667,-17.1,75.7,73,22,4.12,few clouds
43,Mezen,RU,65.8522,44.24,44.19,96,86,9.33,overcast clouds
44,Yumen,CN,40.2833,97.2,45.64,26,12,5.21,few clouds
45,Yurla,RU,59.3259,54.3223,41.14,93,99,6.13,overcast clouds
46,Chuy,UY,-33.6971,-53.4616,61.11,93,84,16.06,broken clouds
47,Bogovarovo,RU,58.9785,47.0246,40.23,94,58,5.44,broken clouds
48,Thompson,CA,55.7435,-97.8558,25.39,66,28,11.9,scattered clouds
49,Gamboula,CF,4.1178,15.1393,70.14,95,40,5.57,moderate rain
50,Barrow,US,71.2906,-156.7887,28.42,80,100,25.32,overcast clouds
51,Conakry,GN,9.538,-13.6773,79.9,78,100,8.59,light rain
52,Vaini,TO,-21.2,-175.2,73.56,100,40,4.61,scattered clouds
53,Moree,AU,-29.4667,149.85,54.37,75,0,8.79,clear sky
54,Busselton,AU,-33.65,115.3333,51.26,84,13,10.04,few clouds
55,Rikitea,PF,-23.1203,-134.9692,69.06,60,93,20.38,overcast clouds
56,Puerto Ayora,EC,-0.7393,-90.3518,76.96,83,86,8.99,overcast clouds
57,Faya,SA,18.3851,42.4509,64.92,33,31,10.87,scattered clouds
58,Castro,BR,-24.7911,-50.0119,68.58,77,98,1.57,overcast clouds
59,Sobolevo,RU,54.4299,31.8996,44.91,70,94,13.62,overcast clouds
60,Vao,NC,-22.6667,167.4833,70.41,65,0,7.83,clear sky
61,Acapulco,MX,16.8634,-99.8901,85.82,79,75,3.44,light rain
62,Grindavik,IS,63.8424,-22.4338,37.87,75,40,34.52,scattered clouds
63,Salalah,OM,17.0151,54.0924,80.69,74,20,3.44,few clouds
64,Bluff,NZ,-46.6,168.3333,50.4,69,47,18.34,scattered clouds
65,Shache,CN,38.4167,77.2406,59.25,16,2,5.55,clear sky
66,Saraland,US,30.8207,-88.0706,85.8,55,19,4.36,few clouds
67,Kaitangata,NZ,-46.2817,169.8464,48.31,80,98,5.59,overcast clouds
68,Takayama,JP,36.1333,137.25,59.32,98,90,2.95,overcast clouds
69,Auki,SB,-8.7676,160.7034,76.19,87,62,4.43,broken clouds
70,Nikolskoye,RU,59.7035,30.7861,49.91,86,98,11.34,overcast clouds
71,Aksum,ET,14.1245,38.7244,67.41,36,78,15.43,broken clouds
72,Bambous Virieux,MU,-20.3428,57.7575,69.22,76,82,8.37,broken clouds
73,New Norfolk,AU,-42.7826,147.0587,49.5,67,100,2.42,overcast clouds
74,Tancheng,CN,27.4375,115.4976,68.92,46,98,7.96,overcast clouds
75,Khatanga,RU,71.9667,102.5,12.54,94,30,9.78,scattered clouds
76,Brae,GB,60.3964,-1.353,49.62,75,85,16.75,light rain
77,Samarai,PG,-10.6167,150.6667,80.74,82,68,11.43,broken clouds
78,Sao Filipe,CV,14.8961,-24.4956,77.36,73,11,6.69,few clouds
79,Port Macquarie,AU,-31.4333,152.9167,60.89,93,56,4.9,broken clouds
80,Tateyama,JP,34.9833,139.8667,69.1,83,98,10.04,overcast clouds
81,Avarua,CK,-21.2078,-159.775,75.25,78,75,6.91,broken clouds
82,Kahului,US,20.8947,-156.47,78.84,66,0,8.05,clear sky
83,Yinchuan,CN,38.4681,106.2731,48.78,25,0,8.25,clear sky
84,Tasiilaq,GL,65.6145,-37.6368,28.56,62,63,4.68,broken clouds
85,Ostrovnoy,RU,68.0531,39.5131,46.29,90,100,23.22,overcast clouds
86,Villingen-Schwenningen,DE,48.0667,8.45,60.58,81,100,4.03,overcast clouds
87,Cabo San Lucas,MX,22.8909,-109.9124,85.05,61,20,16.11,few clouds
88,Wilkie,CA,52.4168,-108.7014,36.9,62,99,10.29,overcast clouds
89,Arman,RU,59.7,150.1667,19.78,66,69,6.24,broken clouds
90,Carnarvon,AU,-24.8667,113.6333,65.01,71,0,21.23,clear sky
91,Evensk,RU,61.95,159.2333,14.99,73,63,8.32,broken clouds
92,Dikson,RU,73.5069,80.5464,29.32,92,94,9.37,overcast clouds
93,Torbay,CA,47.6666,-52.7314,55.76,83,100,3.0,overcast clouds
94,Carauari,BR,-4.8828,-66.8958,74.86,95,100,0.92,overcast clouds
95,Vestmannaeyjar,IS,63.4427,-20.2734,43.79,61,40,16.11,dust
96,Arcachon,FR,44.5875,-1.0519,82.72,53,0,5.75,clear sky
97,Lagoa,PT,39.05,-27.9833,63.5,59,100,17.45,overcast clouds
98,Cidreira,BR,-30.1811,-50.2056,64.24,94,100,9.57,overcast clouds
99,Qaanaaq,GL,77.484,-69.3632,33.17,87,100,11.7,light snow
100,Ilulissat,GL,69.2167,-51.1,35.62,69,100,1.14,overcast clouds
101,East London,ZA,-33.0153,27.9116,67.96,85,100,20.62,light rain
102,Chino Valley,US,34.7575,-112.4538,59.81,78,40,3.0,scattered clouds
103,Jaru,BR,-10.4389,-62.4664,88.52,56,68,5.08,broken clouds
104,Lavrentiya,RU,65.5833,-171.0,29.77,75,100,23.51,overcast clouds
105,Chumikan,RU,54.7183,135.315,34.27,69,100,10.96,overcast clouds
106,Faanui,PF,-16.4833,-151.75,78.94,67,8,18.19,clear sky
107,Buraydah,SA,26.326,43.975,81.64,13,0,5.17,clear sky
108,Havre-Saint-Pierre,CA,50.2334,-63.5986,52.16,100,100,10.36,moderate rain
109,Mahebourg,MU,-20.4081,57.7,69.26,77,79,8.43,broken clouds
110,Sao Felix Do Xingu,BR,-6.6447,-51.995,92.03,42,75,3.49,broken clouds
111,Port Elizabeth,ZA,-33.918,25.5701,75.09,95,99,4.0,overcast clouds
112,Kruszwica,PL,52.6756,18.3313,61.14,82,100,7.7,overcast clouds
113,Isangel,VU,-19.55,169.2667,71.65,74,28,6.06,scattered clouds
114,Touros,BR,-5.1989,-35.4608,84.06,60,5,19.3,clear sky
115,Jiuquan,CN,39.7432,98.5174,45.46,24,59,4.68,broken clouds
116,Santa Catarina Palopo,GT,14.7167,-91.1333,75.7,70,96,3.04,light rain
117,Taganak,PH,6.0833,118.3,83.59,74,100,6.91,overcast clouds
118,Kodiak,US,57.79,-152.4072,47.71,87,100,4.61,light rain
119,Tiksi,RU,71.6872,128.8694,18.91,89,95,16.93,overcast clouds
120,Port Lincoln,AU,-34.7333,135.8667,55.87,83,69,13.44,broken clouds
121,Igrim,RU,63.1906,64.4162,39.96,88,99,4.23,overcast clouds
122,Vila Franca Do Campo,PT,37.7167,-25.4333,66.61,56,66,7.92,broken clouds
123,Pisco,PE,-13.7,-76.2167,69.66,61,97,9.46,overcast clouds
124,Dambulla,LK,7.86,80.6517,73.99,87,85,4.63,overcast clouds
125,Namatanai,PG,-3.6667,152.4333,78.84,81,100,7.29,overcast clouds
126,Provideniya,RU,64.3833,-173.3,25.07,80,100,10.27,overcast clouds
127,Puerto Colombia,CO,10.9878,-74.9547,87.89,72,40,1.07,light rain
